,wind_code,delist_date
548,600614.SH,2021-07-21
549,603555.SH,1899-12-30
550,301031.SZ,1899-12-30
551,301027.SZ,1899-12-30
552,605056.SH,1899-12-30
553,605365.SH,1899-12-30
554,301028.SZ,1899-12-30
555,300362.SZ,1899-12-30
556,301025.SZ,1899-12-30
557,300268.SZ,1899-12-30
558,688501.SH,1899-12-30
559,688500.SH,1899-12-30
560,301026.SZ,1899-12-30
561,002638.SZ,1899-12-30
562,301027.SZ,1899-12-30
563,301031.SZ,1899-12-30
564,688793.SH,1899-12-30
565,002661.SZ,1899-12-30
566,000595.SZ,1899-12-30
567,002711.SZ,2021-07-15
568,301039.SZ,1899-12-30
569,688799.SH,1899-12-30
570,688500.SH,1899-12-30
571,301018.SZ,1899-12-30
572,301023.SZ,1899-12-30
573,688038.SH,1899-12-30
574,605028.SH,1899-12-30
575,301020.SZ,1899-12-30
576,301021.SZ,1899-12-30
577,688305.SH,1899-12-30
578,605020.SH,1899-12-30
579,600705.SH,1899-12-30
580,688087.SH,1899-12-30
581,301017.SZ,1899-12-30
582,301039.SZ,1899-12-30
583,301022.SZ,1899-12-30
584,688789.SH,1899-12-30
585,605162.SH,1899-12-30
586,002601.SZ,1899-12-30
587,600093.SH,1899-12-30
588,301023.SZ,1899-12-30
589,301018.SZ,1899-12-30
590,688226.SH,1899-12-30
591,301015.SZ,1899-12-30
592,301021.SZ,1899-12-30
593,605287.SH,1899-12-30
594,301020.SZ,1899-12-30
595,600705.SH,1899-12-30
596,301016.SZ,1899-12-30
597,600093.SH,1899-12-30
598,301017.SZ,1899-12-30
599,301013.SZ,1899-12-30
600,688239.SH,1899-12-30
601,301019.SZ,1899-12-30
602,301022.SZ,1899-12-30
603,301004.SZ,1899-12-30
604,688499.SH,1899-12-30
605,301016.SZ,1899-12-30
606,002778.SZ,1899-12-30
607,301015.SZ,1899-12-30
608,605011.SH,1899-12-30
609,002761.SZ,1899-12-30
610,688161.SH,1899-12-30
611,603171.SH,1899-12-30
612,301013.SZ,1899-12-30
