wind_code,,trading_date,wind_code,open_price,high_price,low_price,close_price,volume,vwap,turn,free_turn,is_st,trade_status,susp_days,susp_reason,max_up_or_down,close_adj,return1,return5,return_bn
000975.SZ,605,2013-08-05,000975.SZ,8.19,8.34,8.18,8.31,3333512.9999999995,8.266911153488829,0.5351381418448691,0.8345929980221385,0.0,交易,,,0.0,38.01055494,0.013414634146341697,0.07581227436823101,1.0614950339956808
000975.SZ,606,2013-08-06,000975.SZ,8.3,8.54,8.25,8.48,4961699.0,8.387466793128723,0.7965153827969309,1.242232816759211,0.0,交易,,,0.0,38.788147519999995,0.020457280385078214,0.051886792452830344,0.6749990002414116
000975.SZ,607,2013-08-07,000975.SZ,8.48,8.73,8.42,8.55,6982235.000000001,8.570299180706463,1.120877663841182,1.7481031097059192,0.0,交易,,,0.0,39.1083327,0.008254716981132226,0.029239766081871288,0.03608769866259069
000975.SZ,608,2013-08-08,000975.SZ,8.57,8.63,8.46,8.52,3685674.0,8.555225475720315,0.5916715296463361,0.9227615771686648,0.0,交易,,,0.0,38.97111047999999,-0.0035087719298246833,0.009389671361502483,-0.06145370738951646
000975.SZ,609,2013-08-09,000975.SZ,8.58,8.82,8.55,8.7,6597003.0,8.689457788635233,1.059035296147046,1.6516547293294015,0.0,交易,,,0.0,39.79444379999999,0.021126760563380254,-0.001149425287356176,0.2010195986523076
000975.SZ,610,2013-08-12,000975.SZ,8.78,9.03,8.66,8.94,8405290.0,8.870164586825679,1.349324653081377,2.104385427729096,0.0,交易,,,0.0,40.892221559999996,0.027586206896552,-0.019015659955257336,-0.25567820131856617
000975.SZ,611,2013-08-13,000975.SZ,9.0,9.08,8.81,8.92,6535521.0,8.920219918197802,1.0491654191623436,1.6362618249956262,0.0,交易,,,0.0,40.80074008,-0.0022371364653243075,-0.026905829596412523,-0.2717268093123526
000975.SZ,612,2013-08-14,000975.SZ,8.89,9.03,8.76,8.8,6425788.0,8.899095690676381,1.0315496745352601,1.608788587767524,0.0,交易,,,0.0,40.2518512,-0.013452914798206317,-0.011363636363636576,-0.17438451338175856
000975.SZ,613,2013-08-15,000975.SZ,8.75,8.97,8.6,8.6,5634771.0,8.737913324250442,0.9045655087174868,1.4107460874033502,0.0,交易,,,0.0,39.337036399999995,-0.022727272727272818,-0.0034883720930232176,-0.26003860560795855
000975.SZ,614,2013-08-16,000975.SZ,8.79,8.88,8.46,8.69,6883016.0,8.656342946173597,1.1049497609664352,1.7232622038295182,0.0,交易,,,0.0,39.74870306,0.010465116279069875,-0.010356731875719283,-0.6737937916484228
000975.SZ,615,2013-08-19,000975.SZ,8.66,8.83,8.51,8.77,6311881.0,8.740896366709068,1.0132638660434006,1.580270329513931,0.0,交易,,,0.0,40.11462897999999,0.00920598388952798,-0.005701254275940482,-0.6662012607033594
